Name,Country2,Fixed,FlexibleFloat and Pegged Float2012,Exchrate2012,inflation %2012,infdec2012,GDP growth (annual %)2012,exclude,GDPdec2012,Government Spending2012,index of human capital2012,Capital formation %GDP2012,capformdec2012,Exchrate2019,GDP growth (annual %)2019,GDPdec2019,inflation %2019,infdec2019,Government Spending2019,index of human capital2019,Capital formation %GDP2019,capformdec2019
Australia,Australia,,Free Floating,0,1.9,0.0190,3.7,0,0.037,62.8,3.389,29,0.290,0,2.160956295,0.021609563,1.610767873,0.016107679,60.1,3.549666166,23.19688838,0.231968884
Austria,Austria,,Stabilized Arrange.,0,1.9,0.0190,0.9,0,0.009,23.5,2.840,24,0.240,0,1.418734272,0.014187343,1.530895642,0.015308956,24.5,3.381046295,25.47124409,0.254712441
Bahrain,Bahrain,Conventional Peg,,1,2.2,0.0220,3.6,0,0.036,72.4,2.857,20,0.200,1,1.98971355,0.019897136,1.005820047,0.0100582,62.7,2.229506969,33.0770156,0.330770156
Belgium,Belgium,,Free Floating,0,2.1,0.0210,0.1,0,0.001,14.5,3.060,24,0.240,0,1.784694379,0.017846944,1.43681957,0.014368196,15.2,3.149034023,24.97875483,0.249787548
Bolivia,Bolivia,,Stabilized Arrange.,0,6.9,0.0690,5.2,0,0.052,64.1,2.907,18,0.180,0,2.21670564,0.022167056,1.83954505,0.01839545,49.3,2.966043711,19.87501089,0.198750109
Botswana,Botswana,,Crawling Peg,0,1.1,0.0110,4.3,0,0.043,65.1,2.846,39,0.390,0,3.025910054,0.030259101,2.772864429,0.027728644,65.9,2.938816071,33.25711727,0.332571173
Brazil,Brazil,,Managed Floating,0,4.9,0.0490,1,0,0.01,54.8,2.447,18,0.180,0,1.411152985,0.01411153,3.732976212,0.037329762,55.2,3.091373205,15.40300948,0.154030095
Bulgaria,Bulgaria,Currency Board,,1,1.6,0.0160,0.5,0,0.005,64.2,2.900,22,0.220,1,3.69430838,0.036943084,3.103729448,0.031037294,63.9,3.186015129,21.10710787,0.211071079
Canada,Canada,,Free Floating,0,1.7,0.0170,1.7,0,0.017,44.8,3.379,25,0.250,0,1.861415379,0.018614154,1.949269024,0.01949269,51.3,3.721065998,22.98836895,0.22988369
Central African Republic,Central African Republic,Conventional Peg,,1,2.7,0.0270,4.1,0,0.041,92.4,1.638,15,0.150,1,3,0.03,2.685373553,0.026853736,94.2,1.56162703,23.15599432,0.231559943
